Cardiac_Function_and_ECG_Criteria,Current_Medication_Use,Demographics_and_General_Eligibility,Drug_Intolerances_and_Toxicity_History,Electrolytes_and_Minerals,Endocrine_and_Metabolic_Function,General_Comorbidities,Genomic_Alterations,Hematologic_Parameters,Liver_Function,Molecular_Biomarkers,Performance_Status_and_Prognosis,Primary_Tumor_Type,Prior_Treatment_Exposure,Renal_Function,Surgical_History_and_Plans,Treatment_Eligibility_Intent_and_Setting,Treatment_Lines_and_Sequencing,Tumor_Site_and_Extent,Vital_Signs_and_Body_Function_Metrics,Washout_Periods
,,,,HAS_POTENTIAL_HYPOMAGNESEMIA,,HAS_HISTORY_OF_CENTRAL_NERVOUS_SYSTEM_DISEASE,MOLECULAR_TEST_RESULT_IS_KNOWN_FOR_GENE_X,HAS_THROMBOCYTES_ABS_OF_AT_LEAST_X,,HAS_PROTEIN_X_POLYMORPHISM_Y,,HAS_OVARIAN_BORDERLINE_TUMOR,HAS_HAD_CATEGORY_X_TREATMENT_OF_TYPES_Y_WITH_STOP_REASON_OTHER_THAN_PD,,,,,HAS_LUNG_METASTASES,,HAS_RECEIVED_CATEGORIES_X_CANCER_THERAPY_WITHIN_Y_WEEKS_Z_HALF_LIVES
,,,,HAS_POTENTIAL_SYMPTOMATIC_HYPERCALCEMIA,,HAS_HISTORY_OF_CONGESTIVE_HEART_FAILURE_WITH_AT_LEAST_NYHA_CLASS_X,MOLECULAR_TEST_RESULT_IS_KNOWN_FOR_PROMOTER_OF_GENE_X,REQUIRES_REGULAR_HEMATOPOIETIC_SUPPORT,,HAS_PSA_LLN_OF_AT_LEAST_X,,HAS_OVARIAN_CANCER_WITH_MUCINOUS_COMPONENT,HAS_HAD_CATEGORY_X_TREATMENT_OF_TYPE_Y_AS_MOST_RECENT_LINE,,,,,HAS_LYMPH_NODE_METASTASES,,HAS_RECEIVED_DRUGS_X_CANCER_THERAPY_WITHIN_Y_WEEKS
,,,,,,HAS_HISTORY_OF_EYE_DISEASE,MUTATION_IN_GENE_X_IN_ANY_CODONS_Y,,,HAS_PSA_UG_PER_L_OF_AT_LEAST_X,,HAS_PATHOLOGICAL_DOCUMENTATION_OF_TUMOR_TYPE,HAS_HAD_CATEGORY_X_TREATMENT_WITH_ANY_INTENT_Y,,,,,HAS_MEASURABLE_DISEASE,,HAS_RECEIVED_DRUGS_X_CANCER_THERAPY_WITHIN_Y_WEEKS_Z_HALF_LIVES
,,,,,,HAS_HISTORY_OF_GASTROINTESTINAL_DISEASE,MUTATION_IN_GENE_X_IN_EXON_Y,,,HAS_PSMA_POSITIVE_PET_SCAN,,HAS_PRIMARY_TUMOR_LOCATION_BELONGING_TO_ANY_DOID_TERM_X,HAS_HAD_CATEGORY_X_TREATMENT_WITH_ANY_INTENT_Y_WITHIN_Z_MONTHS,,,,,HAS_MEASURABLE_DISEASE_RANO,,HAS_RECEIVED_RADIOTHERAPY_WITHIN_X_WEEKS
,,,,,,HAS_HISTORY_OF_IMMUNE_SYSTEM_DISEASE,MUTATION_IN_GENE_X_IN_EXON_Y_OF_TYPE_Z,,,HAS_TOTAL_PROTEIN_IN_24H_URINE_OF_AT_LEAST_X,,HAS_PRIMARY_TUMOR_LOCATION_BELONGING_TO_ANY_DOID_TERM_X _DISTAL_SUB_LOCATION,HAS_HAD_COMBINED_TREATMENT_NAMES_X_AND_BETWEEN_Y_AND_Z_CYCLES,,,,,HAS_MEASURABLE_DISEASE_RECIST,,HAS_RECEIVED_TRIAL_MEDICATION_WITHIN_X_WEEKS
,,,,,,HAS_HISTORY_OF_INTERSTITIAL_LUNG_DISEASE_INCLUDING_PNEUMONITIS,MUTATION_IN_GENE_X_IN_EXON_Y_TO_EXON_Z,,,HAS_TOTAL_PROTEIN_IN_URINE_OF_AT_LEAST_X,,HAS_PROGRESSIVE_DISEASE_ACCORDING_TO_SPECIFIC_CRITERIA,HAS_HAD_DRUG_X_COMBINED_WITH_CATEGORY_Y_TREATMENT_OF_TYPES_Z,,,,,HAS_METASTATIC_CANCER,,HAS_RECEIVED_TRIAL_MEDICATION_WITHIN_X_WEEKS_Y_HALF_LIVES
,,,,,,HAS_HISTORY_OF_LIVER_DISEASE,MUTATION_IN_GENE_X_OF_ANY_PROTEIN_IMPACTS_Y,,,HAS_UGT1A1_HAPLOTYPE_X,,HAS_RAPID_PROGRESSIVE_DISEASE,HAS_HAD_FIRST_LINE_CATEGORY_X_OF_TYPES_Y_THERAPY,,,,,HAS_MRI_VOLUME_MEASUREMENT_AMENABLE_LESION,,
,,,,,,HAS_HISTORY_OF_LUNG_DISEASE,NON_EXPRESSION_OF_ANY_GENE_X,,,HER2_STATUS_IS_POSITIVE,,HAS_SECONDARY_GLIOBLASTOMA,HAS_HAD_FIRST_LINE_SYSTEMIC_TREATMENT_NAME_X,,,,,HAS_PRESENCE_OF_LESIONS_IN_AT_LEAST_X_SITES,,
,,,,,,HAS_HISTORY_OF_MYOCARDIAL_INFARCT,OVEREXPRESSION_OF_ANY_GENE_X,,,HRD_SIGNATURE,,HAS_SOLID_PRIMARY_TUMOR,HAS_HAD_FIRST_LINE_TREATMENT_NAME_X_WITHOUT_PROGRESSION_AND_AT_LEAST_Y_CYCLES,,,,,HAS_RECURRENT_CANCER,,
,,,,,,HAS_HISTORY_OF_MYOCARDIAL_INFARCT_WITHIN_X_MONTHS,SPECIFIC_MRNA_EXPRESSION_REQUIREMENTS_MET_FOR_GENES_X,,,LOSS_OF_PROTEIN_X_BY_IHC,,HAS_SOLID_PRIMARY_TUMOR_INCLUDING_LYMPHOMA,HAS_HAD_INTRATUMORAL_INJECTION_TREATMENT,,,,,HAS_SYNCHRONOUS_METASTASTIC_DISEASE,,
,,,,,,HAS_HISTORY_OF_PNEUMONITIS,UTR_3_LOSS_IN_GENE_X,,,MMR_STATUS_IS_AVAILABLE,,HAS_STOMACH_UNDIFFERENTIATED_TUMOR,HAS_HAD_OBJECTIVE_CLINICAL_BENEFIT_FOLLOWING_CATEGORY_X_TREATMENT,,,,,HAS_UNRESECTABLE_PERITONEAL_METASTASES,,
,,,,,,HAS_HISTORY_OF_SECOND_MALIGNANCY,WILDTYPE_OF_GENE_X,,,MOLECULAR_RESULTS_MUST_BE_AVAILABLE,,HAS_SUPERSCAN_BONE_SCAN,HAS_HAD_OBJECTIVE_CLINICAL_BENEFIT_FOLLOWING_CATEGORY_X_TREATMENT_OF_TYPES_Y,,,,,HAS_UNRESECTABLE_STAGE_III_CANCER,,
,,,,,,HAS_HISTORY_OF_SECOND_MALIGNANCY_BELONGING_TO_DOID_TERM_X,,,,MSI_SIGNATURE,,HAS_SYMPTOMS_OF_PRIMARY_TUMOR_IN_SITU,HAS_HAD_OBJECTIVE_CLINICAL_BENEFIT_FOLLOWING_TREATMENT_WITH_ANY_NAME_X,,,,,HAS_VISCERAL_METASTASES,,
,,,,,,HAS_HISTORY_OF_SECOND_MALIGNANCY_IGNORING_DOID_TERMS_X,,,,PD_L1_SCORE_CPS_OF_AT_LEAST_X,,HAS_TNM_T_SCORE_X,HAS_HAD_ONLY_CATEGORY_X_TREATMENT_OF_TYPES_Y,,,,,MEETS_SPECIFIC_CRITERIA_REGARDING_LIVER_METASTASES,,
,,,,,,HAS_HISTORY_OF_SECOND_MALIGNANCY_WITHIN_X_YEARS,,,,PD_L1_SCORE_CPS_OF_AT_MOST_X,,HAS_UNRESECTABLE_CANCER,HAS_HAD_SOC_TARGETED_THERAPY_FOR_NSCLC,,,,,MEETS_SPECIFIC_CRITERIA_REGARDING_METASTASES,,
